19/   50 | d_loss: 0.3908 | g_loss: 0.3614
19/   50 | d_loss: 0.3908 | g_loss: 0.3551
19/   50 | d_loss: 0.3947 | g_loss: 0.3556
19/   50 | d_loss: 0.3912 | g_loss: 0.3585
20/   50 | d_loss: 0.3918 | g_loss: 0.3540
20/   50 | d_loss: 0.3899 | g_loss: 0.3550
20/   50 | d_loss: 0.3901 | g_loss: 0.3559
20/   50 | d_loss: 0.3906 | g_loss: 0.3596
20/   50 | d_loss: 0.3887 | g_loss: 0.3585
20/   50 | d_loss: 0.3909 | g_loss: 0.3577
21/   50 | d_loss: 0.3899 | g_loss: 0.3567
21/   50 | d_loss: 0.3849 | g_loss: 0.3581
21/   50 | d_loss: 0.3895 | g_loss: 0.3567
21/   50 | d_loss: 0.3887 | g_loss: 0.3628
21/   50 | d_loss: 0.3857 | g_loss: 0.3712
21/   50 | d_loss: 0.3909 | g_loss: 0.3515
22/   50 | d_loss: 0.3881 | g_loss: 0.3632
22/   50 | d_loss: 0.3864 | g_loss: 0.3624
22/   50 | d_loss: 0.3863 | g_loss: 0.3731
22/   50 | d_loss: 0.3848 | g_loss: 0.3605
22/   50 | d_loss: 0.3845 | g_loss: 0.3620
22/   50 | d_loss: 0.3847 | g_loss: 0.3678
23/   50 | d_loss: 0.3883 | g_loss: 0.3561
23/   50 | d_loss: 0.3868 | g_loss: 0.3669
23/   50 | d_loss: 0.3852 | g_loss: 0.3780
23/   50 | d_loss: 0.3909 | g_loss: 0.3516
23/   50 | d_loss: 0.6524 | g_loss: 0.4158
23/   50 | d_loss: 0.3876 | g_loss: 0.3551
24/   50 | d_loss: 0.3868 | g_loss: 0.3534
24/   50 | d_loss: 0.3891 | g_loss: 0.3557
24/   50 | d_loss: 0.3909 | g_loss: 0.3605
24/   50 | d_loss: 0.3866 | g_loss: 0.3609
24/   50 | d_loss: 0.3868 | g_loss: 0.3596
24/   50 | d_loss: 0.3853 | g_loss: 0.3515
25/   50 | d_loss: 0.3878 | g_loss: 0.3677
25/   50 | d_loss: 0.3888 | g_loss: 0.3731
25/   50 | d_loss: 0.3840 | g_loss: 0.3574
25/   50 | d_loss: 0.3873 | g_loss: 0.3586
25/   50 | d_loss: 0.3854 | g_loss: 0.3631
25/   50 | d_loss: 0.3840 | g_loss: 0.3672
26/   50 | d_loss: 0.3860 | g_loss: 0.3764
26/   50 | d_loss: 0.3822 | g_loss: 0.3643
26/   50 | d_loss: 0.3788 | g_loss: 0.3660
26/   50 | d_loss: 0.3854 | g_loss: 0.3560
26/   50 | d_loss: 0.3836 | g_loss: 0.3695
26/   50 | d_loss: 0.3889 | g_loss: 0.3609
27/   50 | d_loss: 0.3844 | g_loss: 0.3661
27/   50 | d_loss: 0.3841 | g_loss: 0.3669
27/   50 | d_loss: 0.3842 | g_loss: 0.3654
27/   50 | d_loss: 0.3823 | g_loss: 0.3802
27/   50 | d_loss: 0.3829 | g_loss: 0.3750
27/   50 | d_loss: 0.3810 | g_loss: 0.3765
28/   50 | d_loss: 0.3783 | g_loss: 0.3809
28/   50 | d_loss: 0.3848 | g_loss: 0.3745
28/   50 | d_loss: 0.3843 | g_loss: 0.3726
28/   50 | d_loss: 0.3772 | g_loss: 0.3911
28/   50 | d_loss: 0.3799 | g_loss: 0.3888
28/   50 | d_loss: 0.3779 | g_loss: 0.3893
29/   50 | d_loss: 0.3813 | g_loss: 0.3674
29/   50 | d_loss: 0.3805 | g_loss: 0.3746
29/   50 | d_loss: 0.3810 | g_loss: 0.3850
29/   50 | d_loss: 0.3757 | g_loss: 0.3773
29/   50 | d_loss: 0.3764 | g_loss: 0.3818
29/   50 | d_loss: 0.3794 | g_loss: 0.3885
30/   50 | d_loss: 0.3821 | g_loss: 0.3644
30/   50 | d_loss: 0.3790 | g_loss: 0.3774
30/   50 | d_loss: 0.3757 | g_loss: 0.3814
